iter	Logloss
0	0.6610994507
1	0.6307733341
2	0.6022617542
3	0.5751281184
4	0.549480789
5	0.5253156666
6	0.5026632511
7	0.4817231268
8	0.4618936359
9	0.443156376
10	0.4254590454
11	0.4089458496
12	0.3930009802
13	0.3778480998
14	0.3640808361
15	0.3507996461
16	0.338919101
17	0.3274297966
18	0.3166537459
19	0.306594229
20	0.2968791502
21	0.2879593662
22	0.2794573231
23	0.2715083243
24	0.2640897328
25	0.2567410916
26	0.2499659914
27	0.2437236111
28	0.2377258567
29	0.2319941451
30	0.2265708234
31	0.22168469
32	0.2169242725
33	0.2124480491
34	0.2082699052
35	0.2042446612
36	0.2005087716
37	0.1970009734
38	0.1935563142
39	0.1903663169
40	0.187376406
41	0.184589779
42	0.1818093921
43	0.1791870261
44	0.1769001148
45	0.1745217126
46	0.1723927802
47	0.1702225657
48	0.1681798845
49	0.1661908351
50	0.164410323
51	0.1627967776
52	0.1612468293
53	0.1596571601
54	0.1582107888
55	0.1567561525
56	0.1555217134
57	0.1543264036
58	0.1531919226
59	0.1519901595
60	0.150825608
61	0.1498026694
62	0.1488450481
63	0.1478492055
64	0.1470078148
65	0.1462258384
66	0.1454661587
67	0.1446206474
68	0.1438807722
69	0.1430683348
70	0.1424165048
71	0.1418065778
72	0.1412164053
73	0.1406196401
74	0.1400322956
75	0.1395008958
76	0.138987849
77	0.1384663839
78	0.1379351375
79	0.137463563
80	0.1370710221
81	0.1366275804
82	0.1362684563
83	0.135916213
84	0.1355375698
85	0.1351488206
86	0.1348385151
87	0.1345297005
88	0.1342132194
89	0.1338554632
90	0.1335394058
91	0.1332191027
92	0.1329728655
93	0.1327104713
94	0.1324410427
95	0.1322244496
96	0.1319892159
97	0.1317138429
98	0.1315066128
99	0.1312789405
100	0.1310884901
101	0.1309324003
102	0.1307529013
103	0.1305631031
104	0.130387923
105	0.1302246137
106	0.130062807
107	0.1299235079
108	0.1297607607
109	0.1296465895
110	0.1294791202
111	0.1293332868
112	0.1291949056
113	0.1290695206
114	0.1289204209
115	0.1287790156
116	0.1285987807
117	0.1284835941
118	0.1283543827
119	0.1282390822
120	0.1281123064
121	0.1280163286
122	0.1279101161
123	0.1278015921
124	0.1276916872
125	0.1275985091
126	0.1275136662
127	0.1274315639
128	0.1273376787
129	0.1272505498
130	0.1271606417
131	0.1270631553
132	0.1269859839
133	0.1269247457
134	0.126856945
135	0.1267481422
136	0.1266683502
137	0.1266012214
138	0.1265271882
139	0.126424747
140	0.1263428722
141	0.1262861302
142	0.1262147377
143	0.1261453541
144	0.1260776568
145	0.1260196661
146	0.1259654731
147	0.1258949517
148	0.1258249391
149	0.1257561254
150	0.125697678
151	0.1256479448
152	0.1255982163
153	0.125555574
154	0.1254748591
155	0.125433709
156	0.1253856612
157	0.125317471
158	0.1252813029
159	0.1252154779
160	0.1251338874
161	0.1250843465
162	0.1250221956
163	0.1249736854
164	0.1249334335
165	0.1248907006
166	0.1248623602
167	0.1248094523
168	0.1247695544
169	0.1247260098
170	0.1246409997
171	0.1245961789
172	0.1245300581
173	0.1244949081
